RUN	20140318100922	pricingsimulation	pricingsimulation
SCENARIO	Pricing	309	START	1395137365298
SCENARIO	Pricing	707	START	1395137365300
SCENARIO	Pricing	255	START	1395137365300
SCENARIO	Pricing	399	START	1395137365300
SCENARIO	Pricing	712	START	1395137365300
SCENARIO	Pricing	394	START	1395137365300
SCENARIO	Pricing	276	START	1395137365300
SCENARIO	Pricing	11	START	1395137365301
SCENARIO	Pricing	141	START	1395137365301
SCENARIO	Pricing	957	START	1395137365301
SCENARIO	Pricing	438	START	1395137365301
SCENARIO	Pricing	487	START	1395137365301
SCENARIO	Pricing	867	START	1395137365301
SCENARIO	Pricing	382	START	1395137365301
SCENARIO	Pricing	528	START	1395137365301
SCENARIO	Pricing	497	START	1395137365301
SCENARIO	Pricing	455	START	1395137365301
SCENARIO	Pricing	251	START	1395137365301
SCENARIO	Pricing	794	START	1395137365301
SCENARIO	Pricing	759	START	1395137365301
SCENARIO	Pricing	892	START	1395137365302
SCENARIO	Pricing	38	START	1395137365302
SCENARIO	Pricing	101	START	1395137365302
SCENARIO	Pricing	263	START	1395137365302
SCENARIO	Pricing	593	START	1395137365302
SCENARIO	Pricing	931	START	1395137365302
SCENARIO	Pricing	417	START	1395137365302
SCENARIO	Pricing	904	START	1395137365302
SCENARIO	Pricing	350	START	1395137365302
SCENARIO	Pricing	758	START	1395137365302
SCENARIO	Pricing	608	START	1395137365302
SCENARIO	Pricing	754	START	1395137365302
SCENARIO	Pricing	490	START	1395137365302
SCENARIO	Pricing	874	START	1395137365302
SCENARIO	Pricing	310	START	1395137365302
SCENARIO	Pricing	590	START	1395137365302
SCENARIO	Pricing	138	START	1395137365302
SCENARIO	Pricing	182	START	1395137365302
SCENARIO	Pricing	851	START	1395137365302
SCENARIO	Pricing	69	START	1395137365302
SCENARIO	Pricing	434	START	1395137365303
SCENARIO	Pricing	411	START	1395137365303
SCENARIO	Pricing	949	START	1395137365303
SCENARIO	Pricing	907	START	1395137365303
SCENARIO	Pricing	773	START	1395137365303
SCENARIO	Pricing	400	START	1395137365303
SCENARIO	Pricing	471	START	1395137365303
SCENARIO	Pricing	559	START	1395137365303
SCENARIO	Pricing	439	START	1395137365303
SCENARIO	Pricing	657	START	1395137365303
SCENARIO	Pricing	259	START	1395137365304
SCENARIO	Pricing	453	START	1395137365304
SCENARIO	Pricing	381	START	1395137365304
SCENARIO	Pricing	856	START	1395137365304
SCENARIO	Pricing	480	START	1395137365304
SCENARIO	Pricing	518	START	1395137365305
SCENARIO	Pricing	675	START	1395137365305
SCENARIO	Pricing	942	START	1395137365305
SCENARIO	Pricing	169	START	1395137365305
SCENARIO	Pricing	517	START	1395137365305
SCENARIO	Pricing	413	START	1395137365305
SCENARIO	Pricing	163	START	1395137365305
SCENARIO	Pricing	562	START	1395137365305
SCENARIO	Pricing	445	START	1395137365306
SCENARIO	Pricing	352	START	1395137365306
SCENARIO	Pricing	279	START	1395137365306
SCENARIO	Pricing	410	START	1395137365306
