RUN	20140318094408	pricingsimulation	pricingsimulation
SCENARIO	Pricing	13	START	1395135850713
SCENARIO	Pricing	16	START	1395135850723
SCENARIO	Pricing	4	START	1395135850723
SCENARIO	Pricing	21	START	1395135850723
SCENARIO	Pricing	3	START	1395135850723
SCENARIO	Pricing	15	START	1395135850723
SCENARIO	Pricing	10	START	1395135850724
SCENARIO	Pricing	19	START	1395135850724
SCENARIO	Pricing	39	START	1395135850733
SCENARIO	Pricing	35	START	1395135850733
SCENARIO	Pricing	25	START	1395135850733
SCENARIO	Pricing	7	START	1395135850733
SCENARIO	Pricing	46	START	1395135850733
SCENARIO	Pricing	17	START	1395135850733
SCENARIO	Pricing	29	START	1395135850733
SCENARIO	Pricing	33	START	1395135850733
SCENARIO	Pricing	44	START	1395135850733
SCENARIO	Pricing	42	START	1395135850733
SCENARIO	Pricing	11	START	1395135850733
SCENARIO	Pricing	36	START	1395135850733
SCENARIO	Pricing	27	START	1395135850733
SCENARIO	Pricing	18	START	1395135850733
SCENARIO	Pricing	50	START	1395135850733
SCENARIO	Pricing	6	START	1395135850733
SCENARIO	Pricing	37	START	1395135850733
SCENARIO	Pricing	30	START	1395135850733
SCENARIO	Pricing	41	START	1395135850733
SCENARIO	Pricing	24	START	1395135850733
SCENARIO	Pricing	48	START	1395135850733
SCENARIO	Pricing	5	START	1395135850733
SCENARIO	Pricing	49	START	1395135850733
SCENARIO	Pricing	34	START	1395135850733
SCENARIO	Pricing	9	START	1395135850733
SCENARIO	Pricing	31	START	1395135850733
SCENARIO	Pricing	32	START	1395135850734
SCENARIO	Pricing	22	START	1395135850734
SCENARIO	Pricing	23	START	1395135850734
SCENARIO	Pricing	2	START	1395135850734
SCENARIO	Pricing	43	START	1395135850734
SCENARIO	Pricing	20	START	1395135850734
SCENARIO	Pricing	45	START	1395135850734
SCENARIO	Pricing	8	START	1395135850734
SCENARIO	Pricing	1	START	1395135850734
SCENARIO	Pricing	38	START	1395135850734
SCENARIO	Pricing	14	START	1395135850734
SCENARIO	Pricing	26	START	1395135850734
SCENARIO	Pricing	40	START	1395135850734
SCENARIO	Pricing	47	START	1395135850734
SCENARIO	Pricing	28	START	1395135850734
SCENARIO	Pricing	12	START	1395135850734
ACTION	Pricing	29	price	1395135850820	1395135850879	1395135853146	1395135853148	OK	 
ACTION	Pricing	24	price	1395135850852	1395135850887	1395135853137	1395135853153	OK	 
ACTION	Pricing	12	price	1395135850932	1395135850938	1395135853147	1395135853151	OK	 
ACTION	Pricing	21	price	1395135850801	1395135850834	1395135853153	1395135853153	OK	 
ACTION	Pricing	30	price	1395135850850	1395135850889	1395135853137	1395135853146	OK	 
ACTION	Pricing	45	price	1395135850910	1395135850916	1395135853148	1395135853151	OK	 
ACTION	Pricing	40	price	1395135850920	1395135850936	1395135853126	1395135853149	OK	 
ACTION	Pricing	8	price	1395135850911	1395135850922	1395135853152	1395135853152	OK	 
ACTION	Pricing	6	price	1395135850849	1395135850886	1395135853173	1395135853173	OK	 
ACTION	Pricing	2	price	1395135850907	1395135850914	1395135853170	1395135853170	OK	 
ACTION	Pricing	10	price	1395135850805	1395135850870	1395135853162	1395135853189	OK	 
ACTION	Pricing	17	price	1395135850819	1395135850880	1395135853171	1395135853171	OK	 
ACTION	Pricing	22	price	1395135850902	1395135850906	1395135853127	1395135853174	OK	 
ACTION	Pricing	18	price	1395135850847	1395135850889	1395135853171	1395135853172	OK	 
ACTION	Pricing	26	price	1395135850919	1395135850925	1395135853172	1395135853178	OK	 
ACTION	Pricing	3	price	1395135850802	1395135850877	1395135853173	1395135853174	OK	 
ACTION	Pricing	15	price	1395135850805	1395135850873	1395135853179	1395135853180	OK	 
ACTION	Pricing	47	price	1395135850921	1395135850936	1395135853174	1395135853174	OK	 
ACTION	Pricing	13	price	1395135850796	1395135850833	1395135853174	1395135853175	OK	 
ACTION	Pricing	7	price	1395135850817	1395135850873	1395135853175	1395135853175	OK	 
ACTION	Pricing	31	price	1395135850896	1395135850899	1395135853180	1395135853181	OK	 
ACTION	Pricing	39	price	1395135850807	1395135850867	1395135853175	1395135853175	OK	 
ACTION	Pricing	19	price	1395135850805	1395135850871	1395135853176	1395135853176	OK	 
ACTION	Pricing	50	price	1395135850848	1395135850887	1395135853190	1395135853190	OK	 
ACTION	Pricing	33	price	1395135850834	1395135850878	1395135853176	1395135853176	OK	 
ACTION	Pricing	23	price	1395135850907	1395135850907	1395135853176	1395135853176	OK	 
